mem,cStart,eLat,bLat,eCost
128,0,814.02,815,0.0000019115
128,0,817.05,818,0.0000019178
128,0,822.94,823,0.0000019283
128,0,806.44,807,0.0000018947
128,0,799.06,800,0.0000018800
160,0,721.45,722,0.0000020952
160,0,649.4,650,0.0000019063
160,0,657.93,658,0.0000019273
160,0,668.01,669,0.0000019561
160,0,660.13,661,0.0000019351
192,0,549.91,550,0.0000019325
192,0,546.1,547,0.0000019231
192,0,535.49,536,0.0000018884
192,0,534.75,535,0.0000018853
192,0,550.52,551,0.0000019356
224,0,527.29,528,0.0000021404
224,0,465.94,466,0.0000019126
224,0,462.77,463,0.0000019015
224,0,475.05,476,0.0000019493
224,0,468.93,469,0.0000019236
256,0,393.72,394,0.0000018548
256,0,401.73,402,0.0000018884
256,0,423.15,424,0.0000019808
256,0,421.45,422,0.0000019724
256,0,399.39,400,0.0000018800
288,0,470.98,471,0.0000024255
288,0,360.34,361,0.0000019057
288,0,358.51,359,0.0000018963
288,0,353.02,354,0.0000018726
288,0,351.54,352,0.0000018632
320,0,457.72,458,0.0000026045
320,0,325.34,326,0.0000019115
320,0,323.39,324,0.0000019010
320,0,311.18,312,0.0000018380
320,0,326.16,327,0.0000019167
352,0,297.57,298,0.0000019210
352,0,309.43,310,0.0000019903
352,0,291.86,292,0.0000018863
352,0,292.89,293,0.0000018921
352,0,271.74,272,0.0000017708
384,0,281.2,282,0.0000019766
384,0,249.85,250,0.0000017750
384,0,253.64,254,0.0000018002
384,0,253.09,254,0.0000018002
384,0,261.95,262,0.0000018506
416,0,242.28,243,0.0000018585
416,0,229.8,230,0.0000017698
416,0,237.58,238,0.0000018244
416,0,233.75,234,0.0000017971
416,0,237.98,238,0.0000018244
448,0,226.15,227,0.0000018685
448,0,213.16,214,0.0000017729
448,0,213.43,214,0.0000017729
448,0,230.01,231,0.0000018979
448,0,221.81,222,0.0000018317
480,0,196.98,197,0.0000017514
480,0,192.38,193,0.0000017199
480,0,192.35,193,0.0000017199
480,0,199.37,200,0.0000017750
480,0,204.56,205,0.0000018144
512,0,211.33,212,0.0000019808
512,0,216.74,217,0.0000020228
512,0,202.0,202,0.0000018968
512,0,189.75,190,0.0000017960
512,0,193.27,194,0.0000018296
544,0,175.85,176,0.0000017708
544,0,172.1,173,0.0000017440
544,0,179.26,180,0.0000018065
544,0,171.35,172,0.0000017351
544,0,179.73,180,0.0000018065
576,0,182.1,183,0.0000019294
576,0,174.63,175,0.0000018538
576,0,171.52,172,0.0000018254
576,0,169.18,170,0.0000018065
576,0,168.4,169,0.0000017971
608,0,166.74,167,0.0000018658
608,0,165.65,166,0.0000018559
608,0,168.34,169,0.0000018858
608,0,164.69,165,0.0000018459
608,0,160.63,161,0.0000018060
640,0,155.38,156,0.0000018380
640,0,161.69,162,0.0000019010
640,0,153.73,154,0.0000018170
640,0,161.55,162,0.0000019010
640,0,153.94,154,0.0000018170
672,0,137.34,138,0.0000017215
672,0,144.45,145,0.0000017986
672,0,135.81,136,0.0000016994
672,0,140.3,141,0.0000017545
672,0,140.45,141,0.0000017545
704,0,145.73,146,0.0000018863
704,0,134.14,135,0.0000017593
704,0,142.21,143,0.0000018517
704,0,141.47,142,0.0000018401
704,0,133.09,134,0.0000017477
736,0,136.94,137,0.0000018543
736,0,172.8,173,0.0000022890
736,0,145.53,146,0.0000019629
736,0,145.3,146,0.0000019629
736,0,140.5,141,0.0000019026
768,0,147.69,148,0.0000020648
768,0,126.14,127,0.0000018002
768,0,124.73,125,0.0000017750
768,0,120.47,121,0.0000017246
768,0,116.88,117,0.0000016742
800,0,125.36,126,0.0000018538
800,0,170.46,171,0.0000024444
800,0,121.45,122,0.0000018013
800,0,129.06,130,0.0000019063
800,0,116.44,117,0.0000017356
832,0,121.26,122,0.0000018653
832,0,161.56,162,0.0000024113
832,0,116.69,117,0.0000017971
832,0,126.44,127,0.0000019336
832,0,121.28,122,0.0000018653
864,0,144.16,145,0.0000022554
864,0,134.56,135,0.0000021136
864,0,114.23,115,0.0000018301
864,0,117.36,118,0.0000018727
864,0,112.5,113,0.0000018018
896,0,100.95,101,0.0000016847
896,0,108.5,109,0.0000018023
896,0,108.58,109,0.0000018023
896,0,100.08,101,0.0000016847
896,0,99.51,100,0.0000016700
928,0,101.01,102,0.0000017530
928,0,115.67,116,0.0000019661
928,0,104.33,105,0.0000017986
928,0,103.98,104,0.0000017834
928,0,108.51,109,0.0000018595
960,0,100.51,101,0.0000017908
960,0,101.23,102,0.0000018065
960,0,101.53,102,0.0000018065
960,0,108.63,109,0.0000019167
960,0,100.35,101,0.0000017908
992,0,101.48,102,0.0000018601
992,0,177.1,178,0.0000030970
992,0,107.82,108,0.0000019577
992,0,96.06,97,0.0000017787
