mem,cStart,eLat,bLat,eCost
128,0,1526.88,1527,0.0000034067
128,0,1765.49,1766,0.0000039086
128,0,1784.5,1785,0.0000039485
128,0,1612.51,1613,0.0000035873
128,0,1338.67,1339,0.0000030119
160,0,1162.12,1163,0.0000032529
160,0,1045.03,1046,0.0000029458
160,0,1209.57,1210,0.0000033763
160,0,1185.96,1186,0.0000033132
160,0,1070.37,1071,0.0000030114
192,0,883.08,884,0.0000029846
192,0,949.06,950,0.0000031925
192,0,1022.43,1023,0.0000034224
192,0,1085.21,1086,0.0000036209
192,0,886.63,887,0.0000029940
224,0,856.31,857,0.0000033495
224,0,924.72,925,0.0000035994
224,0,888.31,889,0.0000034671
224,0,911.79,912,0.0000035516
224,0,924.87,925,0.0000035994
256,0,946.49,947,0.0000041774
256,0,928.57,929,0.0000041018
256,0,855.06,856,0.0000037952
256,0,868.87,869,0.0000038498
256,0,750.6,751,0.0000033542
288,0,729.25,730,0.0000036492
288,0,720.99,721,0.0000036067
288,0,733.66,734,0.0000036681
288,0,743.64,744,0.0000037154
288,0,719.7,720,0.0000036020
320,0,747.54,748,0.0000041270
320,0,715.01,716,0.0000039590
320,0,790.32,791,0.0000043527
320,0,785.94,786,0.0000043265
320,0,760.9,761,0.0000041953
352,0,809.41,810,0.0000048778
352,0,706.08,707,0.0000042829
352,0,808.63,809,0.0000048720
352,0,750.56,751,0.0000045370
352,0,733.64,734,0.0000044388
384,0,767.36,768,0.0000050384
384,0,593.57,594,0.0000039422
384,0,748.37,749,0.0000049187
384,0,760.31,761,0.0000049943
384,0,745.3,746,0.0000048998
416,0,627.68,628,0.0000044861
416,0,708.99,709,0.0000050389
416,0,550.1,551,0.0000039606
416,0,727.93,728,0.0000051686
416,0,595.4,596,0.0000042677
448,0,622.45,623,0.0000047791
448,0,645.4,646,0.0000049481
448,0,527.18,528,0.0000040808
448,0,627.78,628,0.0000048158
448,0,740.36,741,0.0000056463
480,0,685.11,686,0.0000056023
480,0,656.22,657,0.0000053739
480,0,635.63,636,0.0000052085
480,0,490.31,491,0.0000040666
480,0,614.59,615,0.0000050431
512,0,588.23,589,0.0000051476
512,0,547.37,548,0.0000048032
512,0,675.0,675,0.0000058700
512,0,573.2,574,0.0000050216
512,0,627.98,628,0.0000054752
544,0,621.45,622,0.0000057514
544,0,607.6,608,0.0000056264
544,0,585.34,586,0.0000054300
544,0,609.9,610,0.0000056443
544,0,565.22,566,0.0000052515
576,0,623.68,624,0.0000060968
576,0,772.99,773,0.0000075048
576,0,629.28,630,0.0000061535
576,0,550.32,551,0.0000054069
576,0,591.66,592,0.0000057944
608,0,690.63,691,0.0000070927
608,0,578.16,579,0.0000059755
608,0,575.36,576,0.0000059456
608,0,567.58,568,0.0000058658
608,0,488.63,489,0.0000050778
640,0,604.48,605,0.0000065525
640,0,553.2,554,0.0000060170
640,0,802.11,803,0.0000086315
640,0,539.06,540,0.0000058700
640,0,562.57,563,0.0000061115
672,0,633.42,634,0.0000071899
672,0,599.03,600,0.0000068150
672,0,641.23,642,0.0000072781
672,0,656.09,657,0.0000074434
672,0,565.1,566,0.0000064402
704,0,734.94,735,0.0000086892
704,0,525.9,526,0.0000062753
704,0,566.84,567,0.0000067489
704,0,642.82,643,0.0000076267
704,0,598.01,599,0.0000071185
736,0,553.7,554,0.0000068895
736,0,651.53,652,0.0000080729
736,0,513.69,514,0.0000064065
736,0,503.22,504,0.0000062858
736,0,603.81,604,0.0000074933
768,0,555.7,556,0.0000072056
768,0,491.39,492,0.0000063992
768,0,507.1,508,0.0000066008
768,0,548.31,549,0.0000071174
768,0,586.94,587,0.0000075962
800,0,670.82,671,0.0000090069
800,0,637.98,638,0.0000085738
800,0,634.64,635,0.0000085344
800,0,490.07,491,0.0000066444
800,0,683.13,684,0.0000091775
832,0,564.13,565,0.0000079123
832,0,566.35,567,0.0000079396
832,0,469.18,470,0.0000066155
832,0,708.93,709,0.0000098779
832,0,537.04,538,0.0000075437
864,0,550.02,551,0.0000080104
864,0,445.03,446,0.0000065221
864,0,605.97,606,0.0000087901
864,0,563.26,564,0.0000081947
864,0,717.48,718,0.0000103777
896,0,677.05,678,0.0000101666
896,0,520.4,521,0.0000078587
896,0,557.57,558,0.0000084026
896,0,571.99,572,0.0000086084
896,0,580.75,581,0.0000087407
928,0,560.95,561,0.0000087412
928,0,522.37,523,0.0000081627
928,0,617.23,618,0.0000096091
928,0,598.36,599,0.0000093198
928,0,600.53,601,0.0000093502
960,0,472.64,473,0.0000076498
960,0,580.84,581,0.0000093508
960,0,610.5,611,0.0000098233
960,0,553.11,554,0.0000089255
960,0,597.54,598,0.0000096185
992,0,649.11,650,0.0000107788
992,0,529.72,530,0.0000088258
992,0,538.03,539,0.0000089722
992,0,700.34,701,0.0000116088
992,0,602.45,603,0.0000100138
1024,0,812.82,813,0.0000138584
1024,0,589.66,590,0.0000101120
1024,0,624.33,625,0.0000107000
1024,0,485.56,486,0.0000083648
1024,0,619.89,620,0.0000106160
1056,0,561.66,562,0.0000099367
1056,0,610.04,611,0.0000107856
1056,0,593.11,594,0.0000104911
1056,0,521.67,522,0.0000092437
1056,0,611.91,612,0.0000108029
1088,0,660.07,661,0.0000119989
1088,0,536.47,537,0.0000097854
1088,0,564.68,565,0.0000102853
1088,0,609.76,610,0.0000110885
1088,0,598.62,599,0.0000108922
1120,0,592.38,593,0.0000110964
1120,0,477.69,478,0.0000089833
1120,0,508.45,509,0.0000095529
1120,0,469.3,470,0.0000088363
1120,0,626.71,627,0.0000117211
1152,0,661.19,662,0.0000127118
1152,0,411.4,412,0.0000079868
1152,0,480.66,481,0.0000092909
1152,0,523.42,524,0.0000101036
1152,0,539.68,540,0.0000104060
1184,0,693.91,694,0.0000136809
1184,0,485.22,486,0.0000096406
1184,0,611.86,612,0.0000120881
1184,0,513.24,514,0.0000101845
1184,0,627.15,628,0.0000123989
1216,0,615.92,616,0.0000124892
1216,0,610.55,611,0.0000123895
1216,0,539.43,540,0.0000109730
1216,0,532.64,533,0.0000108334
1216,0,651.87,652,0.0000132074
1248,0,601.99,602,0.0000125260
1248,0,601.72,602,0.0000125260
1248,0,495.62,496,0.0000103556
1248,0,502.0,502,0.0000104785
1248,0,577.18,578,0.0000120346
1280,0,704.14,705,0.0000150050
1280,0,633.67,634,0.0000135140
1280,0,576.02,577,0.0000123170
1280,0,593.32,594,0.0000126740
1280,0,506.47,507,0.0000108470
1312,0,651.7,652,0.0000142343
1312,0,456.09,457,0.0000100369
1312,0,665.55,666,0.0000145357
1312,0,517.0,518,0.0000113500
1312,0,468.03,469,0.0000102952
1344,0,523.81,524,0.0000117542
1344,0,683.66,684,0.0000152822
1344,0,647.46,648,0.0000144884
1344,0,566.58,567,0.0000127024
1344,0,560.03,561,0.0000125701
1376,0,771.6,772,0.0000176279
1376,0,568.06,569,0.0000130452
1376,0,662.91,663,0.0000151672
1376,0,607.58,608,0.0000139256
1376,0,587.27,588,0.0000134741
1408,0,698.78,699,0.0000163469
1408,0,474.53,475,0.0000111725
1408,0,605.93,606,0.0000141986
1408,0,493.66,494,0.0000116114
1408,0,584.44,585,0.0000137135
1440,0,888.29,889,0.0000212026
1440,0,585.72,586,0.0000140443
1440,0,663.5,664,0.0000158870
