rStart,rEnd,status,mem,rLat,rId,eStart,eEnd,eLat,cId,cStart,vmId,primeNumber,result,osType,nodeVersion,pName,vName,cName,version
1619961674423.5461,1619961676771.8098,200,128,2.348263740539551,gcf_16x16x16_0,1619961675045,1619961676646,1601,1F4MQN4CT,1619961666112,1G8T9Q2,913739,True,linux,v14.16.1,GCF,1G8T9Q2,1F4MQN4CT,36
1619961674424.5796,1619961676442.1106,200,128,2.017530918121338,gcf_16x16x16_0,1619961676273,1619961676378,105,1F4MRE2A6,1619961676193,1G8T9QC,913753,True,linux,v14.16.1,GCF,1G8T9QC,1F4MRE2A6,36
1619961674425.1353,1619961676552.762,200,128,2.127626895904541,gcf_16x16x16_0,1619961676380,1619961676501,121,1F4MMF58L,1619961676236,1G8T9QC,1045621,True,linux,v14.16.1,GCF,1G8T9QC,1F4MMF58L,36
1619961674425.4773,1619961676147.138,200,128,1.7216606140136719,gcf_16x16x16_0,1619961675915,1619961676095,180,1F4MNAIV4,1619961675775,1G8T9QB,1045727,True,linux,v14.16.1,GCF,1G8T9QB,1F4MNAIV4,36
1619961676148.567,1619961677779.232,200,128,1.6306650638580322,gcf_16x16x16_0,1619961676296,1619961677747,1451,1F4MNAIV4,1619961675775,1G8T9QB,1046119,True,linux,v14.16.1,GCF,1G8T9QB,1F4MNAIV4,36
1619961676444.2078,1619961676672.751,200,128,0.22854328155517578,gcf_16x16x16_0,1619961676601,1619961676606,5,1F4MMF58L,1619961676236,1G8T9QC,21365,False,linux,v14.16.1,GCF,1G8T9QC,1F4MMF58L,36
1619961676553.9746,1619961676779.5269,200,128,0.22555232048034668,gcf_16x16x16_0,1619961676746,1619961676752,6,1F4MMF58L,1619961676236,1G8T9QC,21823,False,linux,v14.16.1,GCF,1G8T9QC,1F4MMF58L,36
1619961676673.951,1619961677277.7466,200,128,0.6037957668304443,gcf_16x16x16_0,1619961677146,1619961677164,18,1F4MQN4CT,1619961666112,1G8T9Q2,21749,False,linux,v14.16.1,GCF,1G8T9Q2,1F4MQN4CT,36
1619961676772.2756,1619961676953.652,200,128,0.18137645721435547,gcf_16x16x16_0,1619961676913,1619961676913,0,1F4MMF58L,1619961676236,1G8T9QC,213,False,linux,v14.16.1,GCF,1G8T9QC,1F4MMF58L,36
1619961676780.6138,1619961676951.8306,200,128,0.1712169647216797,gcf_16x16x16_0,1619961676914,1619961676914,0,1F4MRE2A6,1619961676193,1G8T9QC,823,True,linux,v14.16.1,GCF,1G8T9QC,1F4MRE2A6,36
1619961676953.0806,1619961677175.3145,200,128,0.22223377227783203,gcf_16x16x16_0,1619961677102,1619961677142,40,1F4MMF58L,1619961676236,1G8T9QC,749,False,linux,v14.16.1,GCF,1G8T9QC,1F4MMF58L,36
1619961683291.7634,1619961684976.4902,200,128,1.6847267150878906,gcf_16x16x16_1,1619961683440,1619961684944,1504,1F4MNAIV4,1619961675775,1G8T9QB,913739,True,linux,v14.16.1,GCF,1G8T9QB,1F4MNAIV4,36
1619961683298.139,1619961685073.6038,200,128,1.7754650115966797,gcf_16x16x16_1,1619961683545,1619961684947,1402,1F4MRE2A6,1619961676193,1G8T9QC,913753,True,linux,v14.16.1,GCF,1G8T9QC,1F4MRE2A6,36
1619961683304.2512,1619961685176.6494,200,128,1.8723981380462646,gcf_16x16x16_1,1619961683459,1619961685145,1686,1F4MMF58L,1619961676236,1G8T9QC,1045621,True,linux,v14.16.1,GCF,1G8T9QC,1F4MMF58L,36
1619961683311.4634,1619961685082.626,200,128,1.771162509918213,gcf_16x16x16_1,1619961683545,1619961685051,1506,1F4MQN4CT,1619961666112,1G8T9Q2,1045727,True,linux,v14.16.1,GCF,1G8T9Q2,1F4MQN4CT,36
1619961684977.8557,1619961686681.0562,200,128,1.7032005786895752,gcf_16x16x16_1,1619961685356,1619961686640,1284,1F4MNAIV4,1619961675775,1G8T9QB,1046119,True,linux,v14.16.1,GCF,1G8T9QB,1F4MNAIV4,36
1619961685074.3518,1619961685479.0713,200,128,0.40471959114074707,gcf_16x16x16_1,1619961685447,1619961685449,2,1F4MQN4CT,1619961666112,1G8T9Q2,21365,False,linux,v14.16.1,GCF,1G8T9Q2,1F4MQN4CT,36
1619961685083.4717,1619961685669.6616,200,128,0.5861897468566895,gcf_16x16x16_1,1619961685243,1619961685547,304,1F4MMF58L,1619961676236,1G8T9QC,21823,False,linux,v14.16.1,GCF,1G8T9QC,1F4MMF58L,36
1619961685177.2534,1619961685378.7144,200,128,0.2014608383178711,gcf_16x16x16_1,1619961685313,1619961685346,33,1F4MRE2A6,1619961676193,1G8T9QC,21749,False,linux,v14.16.1,GCF,1G8T9QC,1F4MRE2A6,36
1619961685380.016,1619961685584.712,200,128,0.2046959400177002,gcf_16x16x16_1,1619961685553,1619961685553,0,1F4MQN4CT,1619961666112,1G8T9Q2,213,False,linux,v14.16.1,GCF,1G8T9Q2,1F4MQN4CT,36
1619961685479.7935,1619961685632.1914,200,128,0.15239787101745605,gcf_16x16x16_1,1619961685603,1619961685603,0,1F4MQN4CT,1619961666112,1G8T9Q2,823,True,linux,v14.16.1,GCF,1G8T9Q2,1F4MQN4CT,36
